date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:08	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Mar%202012%2009:26:10%20GMT	http://fr.html.net/robots.txt		(from )
11:26:08	16466/16466	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:24:09%20GMT	http://fr.html.net/tutorials/css/	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/index.html	(from )
11:26:08	2394/2394	---M--	200	added ('OK')	image/png	etag:%22440ee3-95a-4b4094baa4d00%22	http://html.net/avatar.png	D:/TempDNL/Temp/CSS/html.net/avatar.png	(from )
11:26:09	16869/16869	---M--	200	added ('OK')	text/css	etag:%22448c9e-41e5-4bbcc50f81240%22	http://html.net/site/style/default.screen.css	D:/TempDNL/Temp/CSS/html.net/site/style/default.screen.css	(from )
11:26:09	8876/8876	---M--	200	added ('OK')	text/css	etag:%22448ca1-22ac-4b4094ea53d80%22	http://html.net/site/style/default.print.css	D:/TempDNL/Temp/CSS/html.net/site/style/default.print.css	(from )
11:26:10	527/527	---M--	200	added ('OK')	image/png	etag:%22448c83-20f-4b4094e95fb40%22	http://fr.html.net/site/graphics/user.png	D:/TempDNL/Temp/CSS/fr.html.net/site/graphics/user.png	(from )
11:26:10	9033/9033	---M--	200	added ('OK')	application/javascript	etag:%224486fd-2349-4b4094d929500%22	http://html.net/forums/styles/prosilver/template/forum_fn.js	D:/TempDNL/Temp/CSS/html.net/forums/styles/prosilver/template/forum_fn.js	(from )
11:26:10	3786/3786	---M--	200	added ('OK')	text/javascript	date:Fri,%2023%20Mar%202012%2006:45:28%20GMT	http://partner.googleadservices.com/gampad/google_service.js	D:/TempDNL/Temp/CSS/partner.googleadservices.com/gampad/google_service.js	(from )
11:26:10	15701/0	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:13%20GMT	http://fr.html.net/tutorials/css/introduction.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/introduction.html	(from )
11:26:12	16984/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:13%20GMT	http://fr.html.net/tutorials/css/lesson1.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson1.html	(from )
11:26:14	20506/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:13%20GMT	http://fr.html.net/tutorials/css/lesson2.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson2.html	(from )
11:26:15	21838/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:14%20GMT	http://fr.html.net/tutorials/css/lesson4.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4.html	(from )
11:26:15	25084/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:14%20GMT	http://fr.html.net/tutorials/css/lesson3.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3.html	(from )
11:26:15	19295/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:15%20GMT	http://fr.html.net/tutorials/css/lesson5.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson5.html	(from )
11:26:16	20989/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:17%20GMT	http://fr.html.net/tutorials/css/lesson6.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson6.html	(from )
11:26:18	19830/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:18%20GMT	http://fr.html.net/tutorials/css/lesson7.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson7.html	(from )
11:26:19	18381/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:18%20GMT	http://fr.html.net/tutorials/css/lesson8.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson8.html	(from )
11:26:19	15881/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:19%20GMT	http://fr.html.net/tutorials/css/lesson9.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson9.html	(from )
11:26:19	17153/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:19%20GMT	http://fr.html.net/tutorials/css/lesson10.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson10.html	(from )
11:26:19	17811/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:21%20GMT	http://fr.html.net/tutorials/css/lesson11.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson11.html	(from )
11:26:20	15662/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:22%20GMT	http://fr.html.net/tutorials/css/lesson12.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson12.html	(from )
11:26:21	18544/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:22%20GMT	http://fr.html.net/tutorials/css/lesson13.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson13.html	(from )
11:26:21	18172/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:23%20GMT	http://fr.html.net/tutorials/css/lesson14.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson14.html	(from )
11:26:47	15820/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:23%20GMT	http://fr.html.net/tutorials/css/lesson15.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson15.html	(from )
11:26:48	8764/8764	---M--	200	added ('OK')	application/x-javascript	etag:%22e66384c4145f584faa9e42ce4f778ad0%22	http://s1.lqcdn.com/m.min.js?dt=2.3.110104.1	D:/TempDNL/Temp/CSS/s1.lqcdn.com/m.min2d33.js	(from )
11:26:48	15945/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:49%20GMT	http://fr.html.net/tutorials/css/lesson16.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson16.html	(from )
11:26:49	5914/5914	---MC-	200	added ('OK')	text/javascript	date:Thu,%2029%20Mar%202012%2009:26:51%20GMT	https://apis.google.com/js/plusone.js	D:/TempDNL/Temp/CSS/apis.google.com/js/plusone.js	(from )
11:26:49	165772/165772	---M--	200	added ('OK')	application/x-javascript	etag:%22761b0e7b0b9814d239bc4dae7641ad77%22	http://connect.facebook.net/en_US/all.js	D:/TempDNL/Temp/CSS/connect.facebook.net/en_US/all.js	(from )
11:26:50	206/206	---M--	200	added ('OK')	image/png	etag:%22448c89-ce-4b4094e95fb40%22	http://html.net/site/graphics/arrowright.png	D:/TempDNL/Temp/CSS/html.net/site/graphics/arrowright.png	(from http://fr.html.net/tutorials/css/)
11:26:51	873/873	---M--	200	added ('OK')	image/gif	etag:%22448c98-369-4b4094e95fb40%22	http://html.net/site/graphics/icon.example.gif	D:/TempDNL/Temp/CSS/html.net/site/graphics/icon.example.gif	(from http://fr.html.net/tutorials/css/)
11:26:51	6234/6234	---M--	200	added ('OK')	image/png	etag:%22448c80-185a-4b4094e95fb40%22	http://html.net/site/graphics/logo.png	D:/TempDNL/Temp/CSS/html.net/site/graphics/logo.png	(from http://fr.html.net/tutorials/css/)
11:26:51	42656/42656	---M--	200	added ('OK')	application/javascript	etag:%22896065e7e7a19e9667f4b93fafceb6d2%22	http://platform.twitter.com/widgets.js	D:/TempDNL/Temp/CSS/platform.twitter.com/widgets.js	(from )
11:26:52	20304/20304	---M--	200	added ('OK')	image/png	etag:%22440b53-4f50-4b4094b027440%22	http://fr.html.net/tutorials/css/css.png	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/css.png	(from http://fr.html.net/tutorials/css/)
11:26:53	3079/3079	---M--	200	added ('OK')	image/png	etag:%22440beb-c07-4b4094b303b00%22	http://fr.html.net/tutorials/css/figure001.fr.png	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure001.fr.png	(from http://fr.html.net/tutorials/css/)
11:26:53	16664/-1	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:54%20GMT	http://fr.html.net/tutorials/css/index.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/index-2.html	(from http://fr.html.net/tutorials/css/)
11:26:53	819/819	---M--	200	added ('OK')	image/png	etag:%22440c08-333-4b4094b3f7d40%22	http://fr.html.net/tutorials/css/figure002.png	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure002.png	(from http://fr.html.net/tutorials/css/)
11:26:53	3560/3560	---M--	200	added ('OK')	image/png	etag:%22440c1b-de8-4b4094b4ebf80%22	http://fr.html.net/tutorials/css/figure003.fr.png	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure003.fr.png	(from http://fr.html.net/tutorials/css/)
11:26:53	989/989	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:56%20GMT	http://fr.html.net/tutorials/css/lesson3_ex1.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex1.html	(from http://fr.html.net/tutorials/css/)
11:26:54	999/999	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:56%20GMT	http://fr.html.net/tutorials/css/lesson3_ex2.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex2.html	(from http://fr.html.net/tutorials/css/)
11:26:54	15553/15553	---M--	200	added ('OK')	image/gif	etag:%22440b50-3cc1-4b4094b027440%22	http://fr.html.net/tutorials/css/butterfly.gif	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/butterfly.gif	(from http://fr.html.net/tutorials/css/)
11:26:54	1002/1002	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:57%20GMT	http://fr.html.net/tutorials/css/lesson3_ex3.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex3.html	(from http://fr.html.net/tutorials/css/)
11:26:54	1011/1011	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:57%20GMT	http://fr.html.net/tutorials/css/lesson3_ex4.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex4.html	(from http://fr.html.net/tutorials/css/)
11:26:55	1009/1009	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:57%20GMT	http://fr.html.net/tutorials/css/lesson3_ex5.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex5.html	(from http://fr.html.net/tutorials/css/)
11:26:55	1028/1028	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:58%20GMT	http://fr.html.net/tutorials/css/lesson3_ex6.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex6.html	(from http://fr.html.net/tutorials/css/)
11:26:55	990/990	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:58%20GMT	http://fr.html.net/tutorials/css/lesson3_ex7.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex7.html	(from http://fr.html.net/tutorials/css/)
11:26:56	13459/0	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:58%20GMT	http://fr.html.net/tutorials/css/lesson3_ex8.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex8.html	(from http://fr.html.net/tutorials/css/)
11:26:56	13436/0	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:59%20GMT	http://fr.html.net/tutorials/css/lesson3_ex9.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex9.html	(from http://fr.html.net/tutorials/css/)
11:26:57	4529/4529	---M--	200	added ('OK')	image/gif	etag:%22440bff-11b1-4b4094b3f7d40%22	http://fr.html.net/tutorials/css/figure004.gif	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure004.gif	(from http://fr.html.net/tutorials/css/)
11:26:57	1039/1039	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:26:59%20GMT	http://fr.html.net/tutorials/css/lesson3_ex10.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex10.html	(from http://fr.html.net/tutorials/css/)
11:26:57	1031/1031	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:00%20GMT	http://fr.html.net/tutorials/css/lesson3_ex11.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex11.html	(from http://fr.html.net/tutorials/css/)
11:26:57	1026/1026	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:00%20GMT	http://fr.html.net/tutorials/css/lesson3_ex12.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex12.html	(from http://fr.html.net/tutorials/css/)
11:26:58	1026/1026	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:00%20GMT	http://fr.html.net/tutorials/css/lesson3_ex13.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson3_ex13.html	(from http://fr.html.net/tutorials/css/)
11:26:58	10170/10170	---M--	200	added ('OK')	image/png	etag:%22440b8f-27ba-4b4094b20f8c0%22	http://fr.html.net/tutorials/css/figure005.fr.png	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure005.fr.png	(from http://fr.html.net/tutorials/css/)
11:26:58	510/510	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:01%20GMT	http://fr.html.net/tutorials/css/lesson4_ex1.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4_ex1.html	(from http://fr.html.net/tutorials/css/)
11:26:59	523/523	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:01%20GMT	http://fr.html.net/tutorials/css/lesson4_ex2.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4_ex2.html	(from http://fr.html.net/tutorials/css/)
11:26:59	2984/2984	---M--	200	added ('OK')	image/gif	etag:%22440c1d-ba8-4b4094b4ebf80%22	http://fr.html.net/tutorials/css/figure006.gif	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/figure006.gif	(from http://fr.html.net/tutorials/css/)
11:26:59	519/519	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:02%20GMT	http://fr.html.net/tutorials/css/lesson4_ex3.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4_ex3.html	(from http://fr.html.net/tutorials/css/)
11:26:59	580/580	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:02%20GMT	http://fr.html.net/tutorials/css/lesson4_ex4.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4_ex4.html	(from http://fr.html.net/tutorials/css/)
11:26:59	573/573	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:02%20GMT	http://fr.html.net/tutorials/css/lesson4_ex5.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson4_ex5.html	(from http://fr.html.net/tutorials/css/)
11:27:00	6238/6238	---M--	200	added ('OK')	text/html	date:Thu,%2029%20Mar%202012%2009:27:03%20GMT	http://fr.html.net/tutorials/css/lesson5_ex1.php	D:/TempDNL/Temp/CSS/fr.html.net/tutorials/css/lesson5_ex1.html	(from http://fr.html.net/tutorials/css/)
